State/UT,Primary Only,Primary with Upper Primary,Primary with U. Primary & Sec. & Higher.S,Upper Primary Only,Upper Primary With Sec. & Higher.St,Primary with U. Primary & Sec.,U. Primary with Sec.,U. Primary schools/ sections,All Schools,Functional Computers
A & N Islands,28.44,78.57,92.50,,94.74,100.00,,88.54,56.59,82.33
Andhra Pradesh,11.47,44.81,89.47,50.00,72.41,69.92,77.08,61.62,29.43,66.10
Arunachal Pradesh,4.06,41.20,94.03,50.00,98.11,86.16,84.62,52.58,24.00,58.98
Assam,1.18,29.69,78.23,18.09,82.53,53.37,64.06,29.71,8.70,51.13
Bihar,2.37,12.87,29.00,11.64,66.30,17.97,17.07,13.75,7.59,8.23
Chandigarh,50.00,93.10,100.00,,100.00,95.71,,97.35,94.53,88.42
Chhattisgarh,3.02,43.42,79.30,14.72,50.00,65.37,20.86,25.51,10.95,41.39
D & N Haveli,11.86,68.75,100.00,100.00,100.00,100.00,.,72.60,39.32,58.27
Daman & Diu,16.95,100.00,100.00,94.74,100.00,100.00,.,96.72,57.50,0.00
Delhi,80.18,93.81,89.69,31.43,75.78,96.54,64.10,87.32,83.90,77.84
Goa,13.87,82.19,100.00,84.62,100.00,100.00,100.00,96.93,41.66,71.76
Gujarat,28.11,90.76,96.94,80.74,91.82,92.21,52.41,90.64,73.83,64.68
Haryana,7.85,77.72,96.01,30.58,97.09,88.58,95.82,78.74,46.93,61.67
Himachal Pradesh,4.71,80.58,95.75,18.71,88.19,94.88,53.51,61.91,25.97,57.48
Jammu & Kashmir,4.12,20.62,90.12,11.28,75.79,57.37,36.47,30.88,17.20,57.38
Jharkhand,3.48,13.09,82.93,27.07,64.86,32.44,50.15,18.93,9.81,52.62
Karnataka,13.30,44.75,96.20,63.52,93.22,87.54,75.66,50.29,34.24,61.76
Kerala,90.95,97.12,98.16,98.93,99.71,96.59,99.73,97.82,94.30,74.25
Lakshadweep,100.00,100.00,100.00,100.00,100.00,100.00,,100.00,100.00,90.24
Madhya Pradesh,2.90,51.23,87.70,13.33,75.82,78.94,64.44,33.78,14.59,46.58
Maharashtra,35.48,74.64,96.72,77.89,98.30,95.32,95.49,82.18,56.91,58.48
Manipur,2.17,41.38,96.00,39.68,95.45,83.29,75.16,62.96,26.08,52.72
Meghalaya,3.54,27.32,89.66,19.80,87.10,66.36,68.21,24.34,9.67,48.21
Mizoram,8.52,48.59,.,52.41,.,,,51.42,29.62,52.75
Nagaland,5.53,46.44,98.10,76.92,89.13,91.29,87.71,67.93,39.73,62.68
Odisha,3.71,19.44,78.98,9.28,83.33,47.74,46.96,26.50,14.36,24.39
Puducherry,99.28,97.67,100.00,100.00,100.00,96.99,100.00,98.41,98.75,89.58
Punjab,9.23,87.18,98.65,94.97,99.77,97.16,99.84,95.87,52.60,82.17
Rajasthan,5.91,32.75,65.61,78.51,79.34,56.17,70.10,45.55,29.91,21.92
Sikkim,36.97,84.93,98.75,0.00,100.00,96.32,25.00,89.18,60.36,59.72
Tamil Nadu,40.14,82.12,99.85,73.39,97.49,98.60,64.72,85.45,57.59,74.12
Telangana,9.06,45.75,81.29,.,79.27,78.65,73.94,64.52,34.70,47.92
Tripura,4.52,5.95,84.55,100.00,91.18,34.91,70.00,28.21,15.65,57.65
Uttar Pradesh,6.67,29.88,56.49,17.15,56.03,36.18,26.81,24.00,13.03,28.43
Uttarakhand,12.86,78.03,96.51,57.33,94.00,92.07,65.70,72.49,33.43,72.15
West Bengal,4.69,41.56,75.71,9.97,79.93,63.91,50.49,44.83,12.67,51.59
All States,10.36,45.46,79.06,19.78,82.04,68.67,68.40,47.52,25.97,54.07
