State/UT,Primary Only,Primary with Upper Primary,Primary with U. Primary & Sec. &Higher Sec.,Upper Primary Only,Upper Primary With Sec.&Hgher.Sec.,Primary with U. Primary& Sec.,U. Primary withSec.,All Schools
A & N Islands,47,130,460,10,145,201,,123
Andhra Pradesh,65,123,420,19,224,322,162,92
Arunachal Pradesh,37,134,309,100,124,233,91,83
Assam,74,157,538,106,226,257,148,84
Bihar,156,417,560,459,243,570,140,266
Chandigarh,329,504,1001,*,231,844,*,816
Chhattisgarh,64,176,405,90,142,266,120,81
D & N Haveli,51,299,1295,43,167,350,.,169
Daman & Diu,164,139,1070,147,167,496,*,194
Delhi,377,342,974,359,615,514,591,521
Goa,58,93,734,89,168,471,198,126
Gujarat,68,247,569,189,161,340,77,176
Haryana,131,185,455,90,188,262,137,181
Himachal Pradesh,32,86,310,32,85,160,55,53
Jammu & Kashmir,27,80,364,43,66,160,42,64
Jharkhand,64,227,917,227,107,374,174,137
Karnataka,38,173,462,87,217,380,147,111
Kerala,96,277,704,190,499,404,297,237
Lakshadweep,143,222,258,339,134,*,*,175
Madhya Pradesh,64,143,409,107,116,261,84,90
Maharashtra,73,225,630,72,441,434,272,152
Manipur,43,120,522,68,180,296,91,102
Meghalaya,52,174,586,51,245,262,112,53
Mizoram,52,177,.,57,.,.,.,56
Nagaland,57,130,652,44,136,283,70,118
Odisha,55,157,907,80,201,289,73,93
Puducherry,73,163,809,14,170,296,142,234
Punjab,82,131,430,71,170,245,127,138
Rajasthan,44,129,232,92,94,184,75,113
Sikkim,31,105,327,177,110,191,93,87
Tamil Nadu,83,203,622,79,216,*,*,162
Telangana,88,138,410,79,231,298,130,108
Tripura,48,121,447,176,172,244,83,120
Uttar Pradesh,143,346,571,104,244,388,179,146
Uttarakhand,49,192,517,50,99,308,72,71
West Bengal,82,153,368,134,690,281,333,136
All States,86,211,449,101,316,276,163,130
