State/UT,Primary Only,Primary with Upper Primary,Primary with U. Primary& Sec.&Higher.Sec.,Upper Primary Only,Upper Primary With Sec.&Higher.Sec.,Primary with U. Primary& Sec.,U. Primary withSec.,All Schools,Functional Boys' Toilet,Handwash Facility Near Toilet
A & N Islands,100.00,100.00,100.00,,100.00,100.00,.,100.00,100.00,80.68
Andhra Pradesh,99.58,99.88,98.96,100.00,100.00,99.53,99.91,99.68,96.65,40.68
Arunachal Pradesh,93.55,98.83,98.51,100.00,96.23,99.55,92.86,95.61,94.75,23.49
Assam,85.83,84.14,90.95,71.07,89.74,88.28,82.80,83.43,86.20,53.33
Bihar,83.78,95.14,94.40,95.44,98.65,97.00,87.56,89.00,91.20,35.15
Chandigarh,100.00,100.00,100.00,,100.00,100.00,.,100.00,100.00,100.00
Chhattisgarh,98.49,97.29,100.00,99.31,100.00,99.81,100.00,98.72,89.16,52.18
D & N Haveli,100.00,100.00,100.00,0.00,100.00,100.00,.,100.00,100.00,78.88
Daman & Diu,100.00,100.00,100.00,100.00,100.00,100.00,.,100.00,100.00,64.10
Delhi,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,99.32
Goa,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,86.87
Gujarat,99.86,99.88,100.00,100.00,100.00,100.00,100.00,99.88,99.90,60.41
Haryana,99.15,100.00,99.91,99.54,99.88,99.90,99.68,99.52,99.36,79.79
Himachal Pradesh,99.68,99.75,100.00,99.25,100.00,100.00,100.00,99.70,99.45,66.45
Jammu & Kashmir,87.90,95.91,98.74,97.14,97.85,97.54,98.41,92.03,97.65,46.09
Jharkhand,96.07,97.30,98.37,94.94,88.71,98.20,92.34,96.52,97.32,28.09
Karnataka,98.92,99.82,100.00,100.00,100.00,100.00,100.00,99.44,99.70,44.80
Kerala,96.88,99.14,99.86,98.77,100.00,99.50,100.00,98.11,99.32,73.53
Lakshadweep,100.00,100.00,100.00,100.00,100.00,100.00,.,100.00,100.00,90.24
Madhya Pradesh,95.72,99.42,99.95,95.39,100.00,99.78,100.00,96.30,94.54,47.62
Maharashtra,98.80,99.60,100.00,98.78,99.73,99.43,99.66,99.18,98.54,84.15
Manipur,98.37,99.19,100.00,90.38,100.00,99.86,97.89,98.67,86.63,32.49
Meghalaya,86.48,73.22,96.15,91.42,100.00,92.52,88.89,87.68,86.75,12.00
Mizoram,97.50,96.92,,98.12,,,.,97.65,90.02,29.15
Nagaland,98.66,98.35,99.03,97.44,100.00,98.68,100.00,98.68,87.25,19.86
Odisha,93.66,95.84,94.74,89.17,98.21,97.03,90.85,93.83,92.40,41.61
Puducherry,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,75.07
Punjab,99.62,99.22,99.65,99.54,99.68,99.78,99.78,99.61,99.35,88.06
Rajasthan,98.97,99.29,99.46,98.11,99.50,99.32,99.35,99.19,96.68,59.01
Sikkim,99.86,99.71,100.00,100.00,100.00,100.00,100.00,99.84,97.64,50.63
Tamil Nadu,99.60,99.93,100.00,100.00,99.97,100.00,99.97,99.73,99.99,70.97
Telangana,100.00,100.00,100.00,,100.00,100.00,100.00,100.00,100.00,37.59
Tripura,99.57,99.92,99.11,100.00,100.00,100.00,100.00,99.69,85.64,34.35
Uttar Pradesh,99.74,99.92,99.52,99.74,99.78,99.89,99.89,99.75,96.78,44.05
Uttarakhand,97.18,98.29,99.57,97.09,99.11,99.38,98.20,97.47,93.17,48.45
West Bengal,97.53,92.44,93.38,98.86,99.83,95.43,99.64,97.70,98.40,56.29
All States,96.45,98.40,99.38,96.00,99.51,98.84,98.04,97.07,96.01,51.98
