State/UT,Primary Only,Primary with Upper Primary,Primary with U. Primary & Sec. & Higher.Sec.,Upper Primary Only,Upper Primary With Sec. & Higher.Sec,Primary with U. Primary & Sec.,U. Primary with Sec.,All Schools,Functional Computers
A & N Islands,30.40,73.68,89.74,,100.00,97.92,*,52.64,81.59
Andhra Pradesh,12.73,42.72,86.99,45.45,17.07,68.18,73.23,29.97,62.47
Arunachal Pradesh,4.32,45.05,90.63,46.51,98.00,89.11,75.00,24.10,63.83
Assam,1.08,29.12,64.75,18.29,80.48,44.80,56.01,7.69,62.71
Bihar,1.42,7.61,35.15,10.79,51.25,14.94,12.25,4.51,16.26
Chandigarh,54.55,92.31,100.00,,100.00,98.57,.,95.83,91.30
Chhattisgarh,2.65,36.67,72.35,13.07,38.91,59.14,16.55,8.89,54.39
D & N Haveli,8.84,66.94,100.00,100.00,100.00,100.00,*,35.74,66.67
Daman & Diu,14.55,88.89,100.00,100.00,100.00,100.00,100.00,57.52,NR
Delhi,80.55,91.82,86.61,55.26,65.09,93.82,58.46,81.59,84.78
Goa,12.02,89.66,100.00,83.33,100.00,99.35,100.00,38.57,75.60
Gujarat,24.74,90.44,96.98,75.23,92.27,93.98,84.82,72.69,69.51
Haryana,7.43,74.87,94.80,27.69,97.39,86.07,94.06,44.15,68.66
Himachal Pradesh,3.75,82.75,94.83,14.38,81.13,92.28,50.00,22.47,67.30
Jammu & Kashmir,3.60,18.94,87.03,8.82,71.43,54.55,32.58,15.81,65.94
Jharkhand,3.10,10.89,77.61,24.39,65.48,30.52,45.03,8.66,64.47
Karnataka,9.94,40.01,94.92,56.96,89.55,89.17,70.74,29.93,75.25
Kerala,87.96,96.61,97.23,98.66,99.64,95.54,99.67,92.66,76.92
Lakshadweep,100.00,100.00,100.00,100.00,100.00,*,*,100.00,88.64
Madhya Pradesh,3.33,46.61,80.74,13.04,69.00,72.89,54.24,13.09,57.91
Maharashtra,28.60,69.20,96.11,38.75,96.48,94.48,91.96,50.63,67.64
Manipur,2.13,36.23,96.55,15.87,95.45,82.31,74.83,24.88,58.90
Meghalaya,2.97,28.57,96.15,15.63,91.25,67.44,53.59,8.35,59.04
Mizoram,9.21,53.92,0.00,56.86,,,*,32.00,61.82
Nagaland,4.98,55.35,97.75,59.09,77.78,92.93,86.43,35.09,68.24
Odisha,3.91,17.07,80.99,8.24,80.43,36.98,21.12,10.56,36.39
Puducherry,98.59,94.90,100.00,,98.11,95.63,100.00,97.63,93.14
Punjab,10.64,83.96,97.20,93.48,100.00,95.34,99.84,51.95,86.00
Rajasthan,4.51,28.80,70.33,72.31,67.62,53.79,30.67,23.09,26.74
Sikkim,29.92,79.40,98.65,50.00,71.43,93.60,0.00,53.33,69.46
Tamil Nadu,35.51,82.59,98.96,78.13,79.24,*,*,54.12,81.28
Tripura,3.59,4.33,59.63,50.00,71.64,27.30,50.00,11.40,58.32
Uttar Pradesh,5.53,25.63,50.00,14.75,53.22,32.81,22.71,11.06,36.09
Uttarakhand,12.78,77.16,94.20,57.03,93.63,90.07,66.40,31.97,78.86
West Bengal,3.94,34.84,67.19,7.93,74.34,54.02,42.04,10.76,62.96
All States,9.25,42.14,82.67,18.22,76.50,64.70,59.25,23.30,62.71
