State/UT,Primary Only,Primary with Upper Primary,Primary with U. Primary & Sec. & Higher.Se,Upper Primary Only,Upper Primary With Sec. & Higher.Sec,Primary with U. Primary & Sec.,U. Primary with Sec.,All Schools,Functional Computers
A & N Islands,30.94,76.54,92.11,100.00,94.74,100.00,.,56.83,83.69
Andhra Pradesh,10.29,44.15,88.46,50.00,62.22,68.38,76.59,27.56,58.16
Arunachal Pradesh,4.06,43.83,95.24,48.78,100.00,89.62,81.58,24.42,61.49
Assam,1.13,30.75,75.00,18.10,82.18,50.50,61.40,8.11,55.99
Bihar,2.29,11.15,28.91,11.65,62.50,15.39,15.14,6.69,10.08
Chandigarh,45.45,93.10,100.00,.,100.00,98.55,.,95.43,89.36
Chhattisgarh,3.30,41.44,77.01,14.70,47.39,64.96,20.50,10.39,43.26
D & N Haveli,7.39,69.29,100.00,100.00,100.00,100.00,.,36.88,63.56
Daman & Diu,21.67,80.00,100.00,100.00,100.00,100.00,.,60.00,0.00
Delhi,79.65,92.41,84.91,42.11,63.94,94.38,51.28,81.02,79.16
Goa,13.66,81.82,100.00,83.33,100.00,100.00,100.00,40.66,72.55
Gujarat,28.28,90.99,97.15,79.08,86.47,93.74,52.00,74.08,66.40
Haryana,7.47,77.03,95.74,28.75,96.90,87.93,95.00,46.06,64.88
Himachal Pradesh,4.30,80.51,95.58,15.85,82.56,93.88,42.82,23.81,62.78
Jammu & Kashmir,3.74,19.80,89.38,11.19,78.13,55.51,35.22,16.52,60.86
Jharkhand,3.25,12.14,82.92,40.00,65.24,31.59,48.17,9.25,57.40
Karnataka,13.20,43.71,96.55,60.24,94.74,86.25,73.54,33.39,64.85
Kerala,89.64,97.21,97.87,98.63,99.61,96.40,100.00,93.58,75.22
Lakshadweep,100.00,100.00,100.00,100.00,100.00,.,.,100.00,90.70
Madhya Pradesh,3.53,49.50,84.99,13.15,74.24,76.23,57.14,14.34,49.31
Maharashtra,32.52,72.86,96.61,47.75,97.93,94.93,94.64,54.27,62.01
Manipur,1.82,36.60,96.81,24.59,91.30,83.12,73.68,24.45,57.91
Meghalaya,3.23,36.18,95.65,18.12,87.50,63.16,64.38,9.02,52.19
Mizoram,8.31,49.87,,51.83,.,.,.,29.54,56.84
Nagaland,4.97,38.84,95.92,68.83,81.82,90.85,86.45,35.61,67.30
Odisha,3.58,18.47,84.96,9.19,83.02,46.18,44.54,13.63,26.30
Puducherry,98.25,96.84,100.00,100.00,98.08,95.65,100.00,97.78,91.64
Punjab,10.29,84.88,98.06,95.36,99.83,96.53,99.84,52.36,83.96
Rajasthan,5.29,31.02,69.82,81.57,76.90,50.58,61.55,28.40,23.45
Sikkim,35.94,82.28,98.77,50.00,83.33,95.56,0.00,58.56,62.33
Tamil Nadu,39.86,82.42,99.21,75.65,81.61,.,.,57.26,75.89
Telangana,18.17,46.08,88.64,75.00,74.37,72.62,75.16,37.45,51.33
Tripura,4.36,5.06,84.15,100.00,91.18,35.81,60.00,15.11,60.58
Uttar Pradesh,6.43,27.71,55.96,16.64,56.17,36.18,25.27,12.48,30.57
Uttarakhand,13.17,76.76,94.78,57.34,94.39,92.72,67.08,32.96,74.82
West Bengal,4.55,39.79,71.38,9.32,78.72,61.28,49.07,12.12,55.05
All States,10.32,44.39,82.00,19.40,79.86,62.67,68.11,25.23,56.40
