State/UT,Primary Only,Primary with Upper Primary,Primary with U. Primary & Sec. & Higher. Sec.,Upper Primary Only,Upper Primary With Sec. & Higher. Sec.,Primary with U. Primary & Sec.,U. Primary with Sec.,U. Primary schools/ Sections,All Schools,Functional Computers
A & N Islands,27.52,79.76,90.70,*,93.75,100.00,100.00,88.60,56.20,82.25
Andhra Pradesh,12.63,44.92,87.36,0.00,77.90,71.95,77.87,62.32,30.66,70.29
Arunachal Pradesh,4.34,39.57,95.65,50.00,96.15,82.61,85.00,51.25,24.37,57.35
Assam,1.25,30.47,76.98,18.30,82.56,55.02,66.39,30.43,9.05,48.36
Bihar,2.35,13.92,26.87,11.83,66.29,16.89,19.82,14.66,8.03,7.50
Chandigarh,66.67,90.00,100.00,*,100.00,100.00,.,98.41,96.52,95.88
Chhattisgarh,3.24,45.52,77.88,15.06,51.53,68.38,21.56,26.89,11.65,38.34
D & N Haveli,32.37,90.63,100.00,100.00,100.00,100.00,*,91.89,59.81,38.54
Daman & Diu,63.79,100.00,100.00,100.00,100.00,100.00,.,100.00,82.50,0.00
Delhi,82.38,94.46,95.37,28.57,87.59,96.85,82.46,92.54,87.71,77.05
Goa,14.51,85.29,100.00,81.82,100.00,100.00,100.00,97.57,42.77,70.21
Gujarat,28.63,90.61,96.23,78.79,81.57,92.41,78.86,90.50,74.02,63.78
Haryana,8.79,79.65,96.48,32.28,97.01,90.05,96.00,79.97,48.77,57.57
Himachal Pradesh,4.66,79.74,95.75,18.21,90.13,94.40,51.24,62.91,26.64,55.01
Jammu & Kashmir,4.48,21.53,89.68,15.67,78.95,59.04,37.56,32.05,17.92,53.65
Tharkhand,3.92,13.96,69.18,36.05,62.42,33.48,56.02,20.02,10.72,47.31
Karnataka,13.53,46.12,96.06,55.46,86.36,87.01,74.87,51.58,35.27,66.81
Kerala,91.71,97.33,97.64,98.48,99.71,96.98,99.73,97.83,94.73,73.67
Lakshadweep,100.00,100.00,100.00,100.00,100.00,100.00,*,100.00,100.00,90.24
Madhya Pradesh,2.82,52.04,88.73,13.11,80.25,81.02,63.83,34.77,15.12,43.18
Maharashtra,39.50,77.45,98.09,81.03,96.24,96.30,93.17,85.27,62.07,55.21
Manipur,2.23,39.62,96.19,41.67,85.19,84.45,78.38,62.78,26.49,51.32
Meghalaya,3.77,26.32,88.57,20.98,91.18,62.50,66.47,25.62,10.29,46.04
Mizoram,8.01,45.96,*,54.69,*,*,*,52.24,30.16,52.05
Nagaland,5.81,46.38,98.08,77.50,89.13,91.52,88.27,68.34,39.95,61.73
Odisha,3.93,21.48,85.14,9.84,40.37,48.15,50.20,28.48,15.56,22.50
Puducherry,99.64,100.00,100.00,100.00,100.00,100.00,100.00,100.00,99.86,99.86
Punjab,9.04,87.78,98.99,94.60,99.81,97.53,99.71,96.12,52.93,80.91
Rajasthan,6.19,34.92,68.37,85.51,81.60,57.77,78.05,47.97,32.05,20.58
Sikkim,36.09,83.14,98.75,*,100.00,96.38,20.00,88.10,59.00,59.33
Tamil Nadu,40.31,82.76,99.46,71.20,96.97,98.41,64.78,85.80,58.02,72.66
Telangana,8.93,47.06,63.27,*,80.19,78.74,76.01,65.73,36.03,44.86
Tripura,4.52,6.77,84.05,100.00,94.20,33.44,55.56,28.39,15.88,56.74
Uttar Pradesh,6.93,31.95,55.18,17.35,54.71,35.17,27.15,24.84,13.59,25.74
Uttarakhand,12.56,78.85,96.54,60.84,93.91,92.40,65.09,74.28,34.40,68.68
West Bengal,4.93,42.28,76.85,10.20,80.61,63.55,51.17,45.32,13.08,48.76
All States,10.84,46.75,81.21,19.91,80.01,72.11,68.08,49.02,27.16,52.29
