State/UT,Primary Only,Primary with Upper Primary,Primary with U. Primary& Sec.&Higher.Sec.,Upper Primary Only,Upper Primary With Sec.&Higher.Sec.,Primary with U. Primary& Sec.,U. Primary with Sec.,All Schools
A & N Islands,80.59,93.42,100.00,,100.00,100.00,*,87.22
Andhra Pradesh,85.04,92.42,98.97,100.00,59.35,95.76,95.66,88.34
Arunachal Pradesh,17.18,49.14,87.50,74.42,88.00,77.23,78.13,32.68
Assam,8.37,49.42,81.15,26.46,84.47,71.81,70.22,15.94
Bihar,3.83,12.24,53.22,15.11,72.50,22.13,29.25,8.08
Chandigarh,100.00,100.00,100.00,,100.00,100.00,,100.00
Chhattisgarh,44.83,83.62,98.02,57.75,84.52,93.00,60.59,51.55
D & N Haveli,91.71,100.00,100.00,100.00,100.00,100.00,*,95.30
Daman & Diu,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
Delhi,100.00,100.00,100.00,97.37,100.00,100.00,100.00,99.98
Goa,98.53,100.00,100.00,100.00,100.00,100.00,100.00,97.88
Gujarat,99.22,99.86,100.00,99.85,100.00,100.00,100.00,99.69
Haryana,97.56,99.32,99.95,92.54,99.28,99.58,98.96,97.79
Himachal Pradesh,84.33,97.36,99.83,81.02,99.06,99.49,96.07,87.13
Jammu & Kashmir,9.26,20.98,94.01,36.03,78.10,68.52,53.88,21.31
Jharkhand,4.86,16.77,84.04,26.83,63.10,37.28,48.76,12.00
Karnataka,94.60,97.35,98.91,96.85,98.51,98.14,96.16,96.17
Kerala,91.22,95.94,97.75,96.57,97.23,97.52,98.21,94.00
Lakshadweep,100.00,100.00,100.00,100.00,100.00,*,*,100.00
Madhya Pradesh,11.23,81.76,93.53,20.96,93.00,91.77,81.36,24.33
Maharashtra,79.83,92.35,97.12,85.00,97.85,98.46,94.50,86.02
Manipur,7.43,38.51,93.10,38.10,95.45,71.78,65.56,26.89
Meghalaya,11.27,51.88,100.00,30.94,96.25,90.70,78.95,18.90
Mizoram,47.10,76.20,0.00,70.40,,*,*,59.21
Nagaland,16.39,51.87,98.88,32.77,81.48,91.58,63.32,35.27
Odisha,11.58,36.19,95.87,29.58,93.48,55.55,62.16,25.99
Puducherry,100.00,100.00,100.00,*,100.00,100.00,100.00,100.00
Punjab,99.93,99.68,99.87,100.00,100.00,99.82,100.00,99.86
Rajasthan,21.23,66.15,93.07,87.60,95.73,83.28,80.07,50.05
Sikkim,52.19,78.21,93.24,100.00,71.43,84.00,50.00,64.68
Tamil Nadu,96.48,98.71,99.68,96.09,95.95,*,*,97.01
Tripura,11.19,9.36,75.47,50.00,82.09,72.87,80.00,23.42
Uttar Pradesh,35.31,69.79,81.17,35.59,79.75,76.02,69.35,39.24
Uttarakhand,57.23,87.93,98.14,72.34,94.11,95.74,80.26,65.31
West Bengal All States,34.88 41.85,74.81 67.92,91.93 94.59,28.53 38.07,95.38,84.67,88.93,41.00
,,,,,92.52,81.90,85.44,51.74
