State/UT,Primary Only,Primary with Upper Primary,Primary with U. Primary& Sec.&Hiqher.Sed,Upper Primary Only,Upper Primary With Sec.&Higher.Se,Primary with U. Primary& Sec.,U. Primary withSec.,All Schools
A & N Islands,80.72,96.3,100,100,100,100,*,88.78
Andhra Pradesh,91.08,94.7,100,100,86.11,97.6,97.11,92.74
Arunachal Pradesh,21.53,54.96,96.83,82.93,95.92,81.13,92.11,38.18
Assam,11.5,56.42,90.91,33,89.43,76.95,75.75,20.1
Bihar,13.76,36.32,51.49,34.96,91.82,37.29,33.07,24.23
Chandigarh,100,100,100,,100,100,,100
Chhattisgarh,60.51,88.83,99.02,72.18,89.93,96.02,75.38,66.16
D & N Haveli,97.16,100,100,100,100,100,,98.44
Daman & Diu,100,100,100,100,100,100,,100
Delhi,100,100,100,100,100,100,100,100
Goa,98.99,100,100,100,100,100,100,98.65
Gujarat,99.27,99.87,100,100,99.52,100,97.33,99.71
Haryana,98.61,99.7,100,95.7,99.79,99.79,99.37,98.79
Himachal Pradesh,93.99,97.95,99.82,85.79,99.55,99.85,97.76,94.22
Jammu & Kashmir,11.67,25.67,96.79,48.51,87.5,75.19,66.75,25.3
Jharkhand,8.48,23.77,88.15,52.63,66.75,43.57,55.01,16.89
Karnataka,97.05,98.7,99.56,98.59,100,99.44,97.63,98.01
Kerala,94.85,98.85,99.5,99.54,99.61,98.61,99.74,96.92
Lakshadweep,100,100,100,100,100,,,100
Madhya Pradesh,11.84,84.03,95.38,23.42,93.89,94.12,87.76,26.34
Maharashtra,90.75,97.33,99.29,85.59,99.11,99.27,96.87,93.81
Manipur,9.73,42.42,95.74,44.26,91.3,74.96,77.63,29.5
Meghalaya,14.86,60.53,100,38.78,95.83,89.47,88.36,23.33
Mizoram,64.07,78.37,,78.41,,,,71.14
Nagaland,18.07,40.54,96.94,49.35,84.09,90.85,73.36,40.43
Odisha,13.89,41.16,98.23,33.2,98.11,61.28,67.8,29.61
Puducherry,100,100,100,100,100,100,100,100
Punjab,99.86,99.85,99.96,99.69,100,99.96,100,99.88
Rajasthan,19.05,69.76,93.96,96.77,96.76,85.7,90.61,55.07
Sikkim kim,59.16,81.68,97.53,100,83.33,88.15,50,70.72
Tamil Nadu,97.77,99.39,100,97.39,99.96,,,98.51
Telangana,87.24,94.47,100,100,74.37,97.72,97.28,90.94
Tripura,13.62,13.45,99.09,100,98.53,78.89,80,28.58
Uttar Pradesh,49.64,71.85,85.35,50.49,81.93,75.92,72.22,52.64
Uttar ttarakhand,71.88,89.83,98.48,81.35,96.68,98.01,85.16,77.16
West Bengal,52.52,79.66,93.19,45.63,98.16,90.91,93.59,56.96
All States,49.63,73.26,95.31,48.33,94.81,84.04,89.15,58.93
