State/UT,Primary Only,Primary with Upper Primary,Primary with U. Primary& Sec.&Higher.Sec.,Upper Primary Only,Upper Primary With Sec. &Higher. Sec.,Primary with U. Primary& Sec.,U. Primary withSec.,All Schools
A & N Islands,82.11,97.62,100.00,,100.00,100.00,.,90.00
Andhra Pradesh,91.65,95.62,100.00,100.00,90.23,97.09,97.58,93.42
Arunachal Pradesh,22.64,53.87,95.52,84.00,94.34,82.59,87.18,39.01
Assam,12.76,58.50,92.34,34.77,93.60,79.84,83.41,22.23
Bihar,22.28,53.42,62.69,47.60,84.78,56.86,41.46,36.74
Chandigarh,100.00,100.00,100.00,.,100.00,100.00,.,100.00
Chhattisgarh,66.51,90.56,99.35,76.94,89.82,95.74,81.69,71.79
D & N Haveli,100.00,100.00,100.00,100.00,100.00,100.00,.,100.00
Daman & Diu,100.00,100.00,100.00,100.00,100.00,100.00,.,100.00
Delhi,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
Goa,99.79,100.00,100.00,100.00,100.00,100.00,100.00,99.86
Gujarat,99.23,99.86,100.00,100.00,100.00,100.00,100.00,99.70
Haryana,98.70,99.96,100.00,96.53,99.79,100.00,99.58,98.99
Himachal Pradesh,96.13,99.00,99.82,89.68,99.82,99.85,99.10,96.23
Jammu & Kashmir,16.01,30.77,97.33,51.13,94.74,80.06,72.22,29.91
Jharkhand,9.30,26.06,88.27,46.62,68.06,45.73,58.49,18.38
Karnataka,96.81,98.81,100.00,98.07,100.00,100.00,99.87,98.02
Kerala,95.57,98.96,99.51,99.69,99.90,98.75,99.73,97.36
Lakshadweep,100.00,100.00,100.00,100.00,100.00,100.00,.,100.00
Madhya Pradesh,11.31,85.17,96.15,24.10,95.08,94.98,88.89,26.66
Maharashtra,90.62,97.29,98.31,89.47,99.31,98.84,97.12,93.80
Manipur,14.64,61.95,100.00,46.03,95.45,85.98,86.93,38.25
Meghalaya,15.61,56.28,100.00,41.15,93.55,90.65,89.40,24.55
Mizoram,65.66,80.72,.,81.73,.,.,.,73.44
Nagaland,22.85,62.72,99.05,74.36,89.13,90.50,75.42,51.23
Odisha,15.49,44.79,92.36,35.17,95.00,65.59,70.59,32.07
Puducherry,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
Punjab,99.94,99.77,99.96,100.00,100.00,99.96,100.00,99.94
Rajasthan,19.84,72.31,92.72,89.47,97.02,88.24,94.97,56.49
Sikkim,73.80,94.20,100.00,100.00,100.00,100.00,100.00,83.97
Tamil Nadu,98.59,99.66,99.77,96.77,100.00,99.78,100.00,99.05
Telangana,87.27,94.67,99.35,.,82.38,97.19,97.92,91.47
Tripura,14.72,15.46,98.54,100.00,98.53,76.56,90.00,29.77
Uttar Pradesh,50.11,73.41,85.78,51.05,82.14,77.89,74.38,53.32
Uttarakhand,73.55,91.79,99.18,82.11,96.56,98.78,86.26,78.75
West Bengal,73.64,83.39,96.84,55.24,98.58,90.63,95.40,74.88
All States,52.40,76.44,94.81,49.86,94.48,88.10,90.82,61.67
