State/UT,Primary Only,Primary with Upper Primary,Primary with U. Primary & Sec. & Higher Sec.,Upper Primary Only,Upper Primary With Sec. & Higher Sec.,Primary with U. Primary & Sec.,U. Primary with Sec.,All Schools
A & N Islands,82.11,97.62,100.00,*,100.00,100.00,100.00,90.02
Andhra Pradesh,92.38,96.12,100.00,100.00,94.48,98.17,97.94,94.09
Arunachal Pradesh,23.48,53.64,95.65,82.69,94.23,80.63,87.50,40.01
Assam,13.43,58.82,93.58,35.13,95.64,81.75,87.11,23.16
Bihar,27.00,61.34,81.14,54.84,88.76,79.09,59.91,43.69
Chandigarh,100.00,100.00,100.00,*,100.00,100.00,*,100.00
Chhattisgarh,71.61,91.30,99.02,80.65,96.63,95.70,89.11,76.35
D & N Haveli,100.00,100.00,100.00,100.00,100.00,100.00,*,100.00
Daman & Diu,100.00,100.00,100.00,100.00,100.00,100.00,*,100.00
Delhi,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
Goa,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
Gujarat,99.84,99.93,100.00,100.00,100.00,100.00,100.00,99.91
Haryana,98.46,99.88,100.00,97.07,99.85,100.00,99.65,98.96
Himachal Pradesh,96.18,99.41,99.84,86.59,100.00,99.85,98.38,95.98
Jammu & Kashmir,17.77,34.10,97.77,52.24,96.84,84.88,81.09,32.61
Tharkhand,26.60,50.29,84.91,56.98,75.16,65.63,64.21,38.13
Karnataka,93.22,98.14,99.58,87.79,92.42,98.80,96.60,95.98
Kerala,95.95,99.20,99.31,99.85,99.90,99.13,99.73,97.64
Lakshadweep,100.00,100.00,100.00,100.00,100.00,100.00,*,100.00
Madhya Pradesh,14.33,86.00,96.49,26.36,95.38,95.47,85.11,29.72
Maharashtra,90.70,97.24,98.95,90.52,98.94,98.25,95.72,94.02
Manipur,15.40,59.48,100.00,46.67,96.30,87.96,87.16,39.02
Meghalaya,16.24,53.16,97.14,42.49,94.12,87.50,89.82,25.50
Mizoram,66.21,78.75,*,82.49,*,*,*,73.84
Nagaland,23.78,64.47,99.04,75.00,89.13,90.23,76.54,52.17
Odisha,17.51,47.87,96.57,36.91,97.52,67.77,73.38,34.74
Puducherry,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
Punjab,99.92,99.92,99.96,100.00,100.00,99.96,100.00,99.94
Rajasthan,21.43,75.25,94.21,96.62,97.04,90.07,96.75,59.45
Sikkim,71.51,92.57,100.00,*,100.00,99.28,100.00,82.00
Tamil Nadu,99.25,99.82,99.90,100.00,100.00,99.89,99.97,99.50
Telangana,87.66,95.04,97.14,*,87.92,97.21,98.32,91.95
Tripura,15.59,18.49,98.58,100.00,100.00,75.53,77.78,31.23
Uttar Pradesh,50.85,74.21,86.02,51.53,82.03,77.11,74.59,54.28
Uttarakhand,76.44,92.70,99.23,84.40,97.08,98.83,88.00,81.30
West Bengal,81.10,84.50,95.61,65.46,98.89,90.89,95.96,81.69
All States,54.97,79.55,95.96,51.40,94.18,91.48,91.41,64.42
