State/UT,Primary Only,Primary with Upper Primary,Primary with U. Primary& Sec.&Higher.Sec.,Upper Primary Only,Upper Primary With Sec.&Higher.Sec.,Primary with U. Primary& Sec.,U. Primary withSec,All Schools,Functional Girls' Toilet,Handwash Facility Near Toilet
A & N Islands,100.00,100.00,100.00,,100.00,100.00,,100.00,100.00,80.73
Andhra Pradesh,99.60,99.89,100.00,100.00,100.00,99.92,99.92,99.71,98.50,40.90
Arunachal Pradesh,94.41,99.59,100.00,100.00,100.00,99.55,97.44,96.53,93.66,23.92
Assam,86.39,85.78,95.14,72.66,94.79,91.58,90.06,84.31,92.24,53.06
Bihar,84.35,96.44,95.40,97.53,98.84,97.09,90.91,89.89,91.83,35.14
Chandigarh,100.00,100.00,100.00,.,100.00,100.00,.,100.00,100.00,100.00
Chhattisgarh,99.16,99.61,100.00,99.67,100.00,99.81,100.00,99.36,95.67,52.14
D & N Haveli,100.00,100.00,100.00,100.00,100.00,100.00,.,100.00,100.00,78.95
Daman & Diu,100.00,100.00,100.00,100.00,100.00,100.00,.,100.00,100.00,64.96
Delhi,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,99.32
Goa,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,86.91
Gujarat,99.95,99.97,100.00,100.00,100.00,100.00,100.00,99.97,99.97,60.57
Haryana,99.37,100.00,100.00,99.50,99.72,100.00,99.93,99.64,99.76,79.70
Himachal Pradesh,99.85,100.00,100.00,99.30,100.00,100.00,100.00,99.82,99.53,66.54
Jammu & Kashmir,91.66,97.97,99.79,98.43,100.00,99.33,99.74,94.93,97.29,45.46
Jharkhand,96.16,97.81,98.37,80.00,94.24,98.78,96.22,96.78,97.17,28.24
Karnataka,99.54,99.97,100.00,100.00,100.00,100.00,100.00,99.78,99.82,44.89
Kerala,98.54,99.76,99.86,100.00,99.38,99.83,100.00,99.14,99.63,73.51
Lakshadweep,100.00,100.00,100.00,100.00,100.00,100.00,,100.00,100.00,90.24
Madhya Pradesh,96.20,99.32,99.95,96.01,100.00,100.00,100.00,96.72,95.09,47.65
Maharashtra,99.06,99.71,100.00,100.00,99.89,99.81,99.82,99.38,98.95,84.17
Manipur,98.27,99.54,100.00,96.83,100.00,100.00,98.04,98.77,86.73,32.69
Meghalaya,84.12,73.63,96.43,89.79,96.77,91.43,88.67,85.59,87.08,12.26
Mizoram,99.04,99.23,,99.47,,.,,99.22,90.32,28.87
Nagaland,99.84,100.00,100.00,97.44,100.00,100.00,100.00,99.89,87.55,20.07
Odisha,97.44,98.58,96.77,91.27,100.00,97.87,94.84,97.14,93.07,41.54
Puducherry,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,75.47
Punjab,99.82,99.54,99.96,99.86,99.70,99.96,100.00,99.83,99.70,88.08
Rajasthan,99.40,99.88,99.87,100.00,98.88,99.89,99.24,99.68,97.55,59.02
Sikkim,99.84,99.71,100.00,100.00,100.00,100.00,100.00,99.83,97.74,51.97
Tamil Nadu,99.84,99.98,100.00,100.00,100.00,100.00,100.00,99.90,99.99,71.07
Telangana,100.00,100.00,100.00,,100.00,100.00,100.00,100.00,100.00,37.88
Tripura,99.73,100.00,100.00,100.00,100.00,100.00,100.00,99.86,85.52,34.36
Uttar Pradesh,99.80,99.93,99.56,99.83,99.87,99.89,99.89,99.81,96.93,44.17
Uttarakhand,96.71,98.99,100.00,97.68,98.02,100.00,98.41,97.24,94.56,48.99
West Bengal,98.10,94.78,98.35,99.02,99.97,96.50,100.00,98.29,98.49,56.34
All States,96.95,99.03,99.72,96.32,99.60,99.31,98.82,97.58,96.83,52.02
