State/UT,Primary Only,Primary with Upper Primary,Primary with U. Primary& Sec. & Higher. Sec.,Upper Primary Only,Upper Primary With Sec. & Higher. Sec.,Primary with U. Primary& Sec.,U. Primary with Sec.,All Schools,Functional Girls' Toilet,Handwash Facility Near Toilet
A & N Islands,100.00,100.00,100.00,*,100.00,100.00,100.00,100.00,100.00,79.12
Andhra Pradesh,99.67,99.82,100.00,*,100.00,100.00,99.91,99.72,89.13,48.24
Arunachal Pradesh,93.06,99.69,100.00,100.00,100.00,100.00,95.00,95.56,90.40,17.92
Assam,97.79,99.06,98.55,97.48,95.42,100.00,94.12,97.67,92.72,57.50
Bihar,83.53,96.56,97.83,97.14,96.49,98.99,97.90,89.00,81.87,30.83
Chandigarh,100.00,100.00,100.00,*,100.00,100.00,*,100.00,100.00,100.00
Chhattisgarh,99.37,100.00,100.00,99.72,100.00,100.00,100.00,99.49,95.69,54.33
D & N Haveli,100.00,100.00,100.00,100.00,100.00,100.00,*,100.00,100.00,85.09
Daman & Diu,100.00,*,*,100.00,100.00,100.00,*,100.00,100.00,71.43
Delhi,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,99.05
Goa,100.00,100.00,100.00,*,100.00,*,100.00,100.00,100.00,87.17
Gujarat,99.96,99.98,100.00,100.00,100.00,100.00,100.00,99.98,99.94,68.17
Haryana,99.13,100.00,100.00,99.46,99.30,100.00,99.85,99.28,98.95,81.18
Himachal Pradesh,99.98,100.00,100.00,99.95,100.00,100.00,100.00,99.98,99.98,66.29
Jammu & Kashmir,94.37,98.58,99.05,100.00,100.00,99.36,99.48,96.28,94.05,45.41
Jharkhand,99.10,99.74,100.00,100.00,98.38,99.79,100.00,99.33,96.87,28.17
Karnataka,98.01,99.23,100.00,94.29,90.91,98.58,96.66,98.57,98.05,47.41
Kerala,99.21,100.00,100.00,100.00,99.21,100.00,100.00,99.46,98.86,70.93
Lakshadweep,100.00,100.00,100.00,100.00,100.00,100.00,*,100.00,100.00,90.24
Madhya Pradesh,96.34,100.00,100.00,96.40,100.00,100.00,100.00,96.36,91.15,45.33
Maharashtra,98.24,99.17,100.00,100.00,98.41,99.27,100.00,98.56,96.57,82.27
Manipur,99.42,99.59,100.00,100.00,100.00,100.00,100.00,99.52,85.74,24.46
Meghalaya,94.33,100.00,100.00,95.75,95.24,100.00,100.00,94.78,86.01,10.85
Mizoram,98.70,100.00,*,99.38,*,*,*,98.99,90.85,34.83
Nagaland,96.07,98.98,100.00,95.00,97.62,100.00,100.00,97.41,92.72,14.32
Odisha,99.07,99.72,100.00,99.69,99.35,99.73,98.67,99.27,94.93,46.38
Puducherry,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
Punjab,99.72,100.00,100.00,99.81,99.95,100.00,100.00,99.79,99.57,91.23
Rajasthan,98.39,99.97,99.98,100.00,98.35,99.95,100.00,99.18,97.75,55.85
Sikkim,99.27,99.47,100.00,*,100.00,100.00,100.00,99.49,98.23,44.25
Tamil Nadu,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,99.98,75.70
Telangana,97.51,99.04,98.54,*,98.52,97.13,99.05,97.96,96.20,41.01
Tripura,99.96,100.00,100.00,100.00,100.00,100.00,100.00,99.98,86.23,33.84
Uttar Pradesh,99.69,99.47,100.00,99.73,100.00,100.00,98.59,99.70,96.81,42.22
Uttarakhand,95.94,93.75,100.00,96.77,98.67,100.00,98.73,96.40,89.92,44.95
West Bengal,99.90,100.00,100.00,99.72,99.96,100.00,99.96,99.89,98.60,62.80
All States,97.68,99.11,99.86,98.60,99.53,99.59,99.30,98.14,94.76,51.87
