State/UT,Primary Only,Primary with Upper Primary,Primary with U. Primary& Sec.&Higher.Sec.,Upper Primary Only,Upper Primary With ec.&Higher.Sec,Primary with U. Primary& Sec.,U. Primary withSec.,All Schools
A & N Islands,99.46,98.41,100.00,100.00,100.00,100.00,.,99.41
Andhra Pradesh,90.80,92.97,100.00,0.00,89.53,99.28,95.75,91.73
Arunachal Pradesh,71.38,87.61,100.00,97.56,89.36,92.31,94.74,77.68
Assam,88.22,97.15,96.77,89.54,98.23,100.00,95.48,88.86
Bihar,87.23,98.75,98.66,99.19,96.00,99.11,98.10,92.04
Chandigarh,100.00,100.00,100.00,.,100.00,100.00,.,100.00
Chhattisgarh,96.96,97.83,100.00,96.93,98.20,87.50,97.43,96.97
D & N Haveli,100.00,100.00,100.00,100.00,100.00,100.00,.,100.00
Daman & Diu,100.00,0.00,0.00,100.00,100.00,100.00,.,100.00
Delhi,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
Goa,100.00,100.00,100.00,0.00,100.00,100.00,100.00,98.91
Gujarat,99.73,99.93,100.00,100.00,100.00,100.00,98.28,99.86
Haryana,99.60,100.00,100.00,99.50,100.00,100.00,99.86,99.66
Himachal Pradesh,98.93,100.00,100.00,98.05,100.00,100.00,99.76,98.96
Jammu & Kashmir,86.14,91.31,99.01,93.98,98.92,97.03,97.53,88.91
Jharkhand,89.38,95.18,100.00,93.75,91.85,97.96,95.45,91.53
Karnataka,99.95,100.00,100.00,100.00,100.00,100.00,100.00,99.97
Kerala,98.47,100.00,99.75,100.00,99.75,100.00,100.00,99.04
Lakshadweep,100.00,100.00,100.00,100.00,100.00,.,,100.00
Madhya Pradesh,95.57,100.00,100.00,94.85,100.00,100.00,100.00,95.38
Maharashtra,99.33,99.68,100.00,100.00,100.00,100.00,99.82,99.45
Manipur,81.74,94.82,100.00,100.00,100.00,100.00,100.00,85.61
Meghalaya,64.74,71.43,100.00,56.08,95.00,88.89,85.71,62.42
Mizoram,91.79,100.00,.,93.23,.,.,,92.41
Nagaland,71.88,82.94,100.00,64.29,85.71,76.47,80.66,75.08
Odisha,97.09,98.95,100.00,99.14,100.00,98.60,99.54,97.88
Puducherry,99.59,100.00,100.00,100.00,100.00,100.00,100.00,99.77
Punjab,99.94,100.00,100.00,100.00,100.00,100.00,100.00,99.96
Rajasthan,94.01,98.00,98.90,99.49,98.21,97.29,96.82,95.99
Sikkim,94.69,97.31,98.53,100.00,100.00,97.37,100.00,95.97
Tamil Nadu,99.84,99.95,100.00,98.57,99.13,.,.,99.75
Telangana,87.73,94.33,100.00,100.00,91.62,99.01,96.80,90.27
Tripura,84.75,89.51,99.30,100.00,100.00,98.48,100.00,88.93
Uttar Pradesh,98.51,97.85,98.92,96.50,100.00,100.00,96.00,97.93
Uttarakhand,94.89,100.00,100.00,92.86,95.88,100.00,93.34,94.58
West Bengal,98.57,95.83,99.12,95.46,99.69,100.00,99.39,98.42
All States,94.97,98.11,99.22,95.01,98.98,97.96,97.63,95.70
