State/UT,Primary Only,Primary with Upper Primary,Primary with U. Primary& Sec &Higher Sec,Upper Primary Only,Upper Primary With Sec.,Primary with U. Primary& Sec.,U. Primary withSec.,All Schools
A & N Islands,100.00,100.00,100.00,,100.00,100.00,,100.00
Andhra Pradesh,93.07,94.74,100.00,0.00,91.81,99.10,96.81,93.79
Arunachal Pradesh,71.88,87.64,100.00,96.00,96.15,96.40,97.44,78.52
Assam,91.06,97.07,98.44,92.43,98.13,100.00,96.40,91.58
Bihar,90.07,99.09,98.77,99.25,98.28,99.73,98.74,93.82
Chandigarh,100.00,100.00,100.00,.,100.00,100.00,,100.00
Chhattisgarh,99.10,99.44,100.00,99.49,100.00,100.00,100.00,99.24
D & N Haveli,100.00,100.00,100.00,100.00,100.00,100.00,.,100.00
Daman & Diu,100.00,0.00,0.00,100.00,100.00,100.00,.,100.00
Delhi,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
Goa,100.00,100.00,100.00,0.00,100.00,0.00,100.00,100.00
Gujarat,99.97,99.92,100.00,100.00,100.00,100.00,100.00,99.94
Haryana,99.83,100.00,100.00,100.00,99.95,100.00,100.00,99.89
Himachal Pradesh,99.88,100.00,100.00,99.44,100.00,100.00,100.00,99.84
Jammu & Kashmir,88.80,92.54,98.98,94.74,96.74,96.57,97.09,90.81
Jharkhand,91.93,96.19,100.00,75.86,92.68,98.25,96.15,93.49
Karnataka,99.97,99.99,100.00,100.00,100.00,100.00,100.00,99.98
Kerala,99.66,100.00,99.52,100.00,99.75,100.00,100.00,99.74
Lakshadweep,100.00,100.00,100.00,100.00,100.00,100.00,,100.00
Madhya Pradesh,95.57,100.00,100.00,95.21,100.00,100.00,100.00,95.48
Maharashtra,99.54,99.76,99.03,100.00,100.00,100.00,99.64,99.61
Manipur,99.96,99.78,100.00,100.00,100.00,100.00,100.00,99.94
Meghalaya,64.08,85.71,100.00,56.69,100.00,80.00,91.30,62.20
Mizoram,92.62,100.00,.,93.85,.,.,,93.15
Nagaland,75.48,83.56,100.00,82.05,84.09,86.52,82.02,79.16
Odisha,99.26,99.83,100.00,99.74,100.00,99.64,99.75,99.48
Puducherry,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
Punjab,99.99,100.00,100.00,100.00,100.00,100.00,100.00,100.00
Rajasthan,93.95,97.10,97.89,92.79,98.59,97.39,97.57,95.62
Sikkim,96.73,98.94,100.00,100.00,100.00,100.00,100.00,97.93
Tamil Nadu,100.00,100.00,100.00,98.61,100.00,100.00,100.00,99.99
Telangana,89.19,94.76,100.00,.,94.24,98.80,97.00,91.39
Tripura,85.55,91.34,98.99,100.00,100.00,97.94,88.89,89.77
Uttar Pradesh,98.62,98.95,98.96,96.96,99.79,100.00,95.65,98.14
Uttarakhand,96.03,94.12,100.00,94.51,98.23,100.00,96.81,95.99
West Bengal,98.84,96.80,100.00,96.95,99.73,100.00,99.40,98.76
All States,95.97,98.36,98.40,95.89,99.35,98.39,98.41,96.53
