State/UT,Primary Only,Primary with Upper Primary,Primary with U. Primary & Sec. & Higher Sec.,Upper Primary Only,Upper Primary With Sec. & Higher Sec.,Primary with U. Primary & Sec.,U. Primary with Sec.,All Schools
A & N Islands,100.00,100.00,100.00,*,100.00,100.00,100.00,100.00
Andhra Pradesh,92.46,94.18,98.62,*,91.57,98.36,96.63,93.24
Arunachal Pradesh,73.10,86.89,100.00,96.15,98.04,96.71,97.50,79.38
Assam,92.20,97.51,100.00,93.34,97.82,100.00,97.47,92.66
Bihar,90.84,99.16,99.69,98.42,96.61,99.95,99.32,94.30
Chandigarh,100.00,100.00,100.00,*,100.00,100.00,*,100.00
Chhattisgarh,99.20,100.00,100.00,99.55,100.00,100.00,100.00,99.32
D & N Haveli,100.00,100.00,100.00,100.00,100.00,100.00,*,100.00
Daman & Diu,100.00,*,*,100.00,100.00,100.00,*,100.00
Delhi,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
Goa,100.00,100.00,100.00,*,100.00,*,100.00,100.00
Gujarat,99.94,99.93,100.00,100.00,100.00,100.00,100.00,99.93
Haryana,99.76,100.00,100.00,99.92,100.00,100.00,100.00,99.84
Himachal Pradesh,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
Jammu & Kashmir,89.15,92.79,97.17,94.78,96.74,96.73,97.26,91.10
Jharkhand,95.15,97.74,100.00,100.00,97.50,98.89,97.94,96.16
Karnataka,99.66,99.83,100.00,95.77,91.49,99.40,96.71,99.68
Kerala,98.97,100.00,99.76,100.00,99.75,100.00,100.00,99.34
Lakshadweep,100.00,100.00,100.00,100.00,100.00,100.00,*,100.00
Madhya Pradesh,95.52,100.00,100.00,95.35,100.00,100.00,100.00,95.48
Maharashtra,99.43,99.58,99.41,100.00,100.00,99.29,100.00,99.48
Manipur,96.66,96.72,95.83,95.65,100.00,95.45,97.03,96.61
Meghalaya,64.03,85.71,100.00,57.11,95.24,90.00,91.67,62.30
Mizoram,92.90,100.00,*,93.96,*,*,*,93.36
Nagaland,76.09,84.67,100.00,87.50,88.37,85.39,81.46,79.89
Odisha,99.70,99.93,100.00,99.96,99.36,99.86,99.89,99.79
Puducherry,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
Punjab,99.99,100.00,100.00,99.93,100.00,100.00,100.00,99.99
Rajasthan,95.00,98.19,97.89,94.33,97.25,97.63,98.80,96.53
Sikkim,96.33,98.40,100.00,*,100.00,100.00,100.00,97.60
Tamil Nadu,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
Telangana,98.67,99.88,100.00,*,95.63,99.79,99.94,99.04
Tripura,85.63,90.85,99.00,100.00,98.36,97.46,100.00,89.68
Uttar Pradesh,98.64,98.46,99.61,97.03,99.41,100.00,92.96,98.18
Uttarakhand,95.51,88.24,100.00,93.89,97.84,100.00,95.35,95.42
West Bengal,98.94,97.08,100.00,97.30,99.74,100.00,99.31,98.87
All States,96.49,98.67,98.49,96.03,99.38,98.53,98.81,96.96
